MASSDIMM pointing data
:EQUAT
-32 22 32.0 2011 03 04 +10.0 825.0  1750.0  0.0
12 47 43 -59 41 19 0.0 0.0 J2000 12 48 54.0 -59 48 09 14 06
13 20 36 -36 42 44 0.0 0.0 J2000 13 22 26.9 -36 51 35 14 08
13 49 37 -42 28 26 0.0 0.0 J2000 13 51 23.9 -42 37 50 14 10
13 55 32 -47 17 18 0.0 0.0 J2000 13 57 16.0 -47 26 05 14 11
13 18 55 -23 10 18 0.0 0.0 J2000 13 20 56.0 -23 18 55 14 12
13 39 53 -53 27 59 0.0 0.0 J2000 13 41 27.0 -53 36 25 14 13
12 34 23 -23 23 48 0.0 0.0 J2000 12 36 21.0 -23 30 45 14 14
12 41 31 -48 57 36 0.0 0.0 J2000 12 43 06.0 -49 04 49 14 15
13 25 12 -11 09 41 0.0 0.0 J2000 13 27 19.0 -11 18 44 14 17
12 08 22 -50 43 21 0.0 0.0 J2000 12 09 49.0 -50 49 12 14 18
12 47 43 -59 41 19 0.0 0.0 J2000 12 48 57.0 -59 48 06 14 19
12 15 09 -58 44 56 0.0 0.0 J2000 12 16 18.0 -58 50 52 14 21
12 37 11 -69 08 08 0.0 0.0 J2000 12 37 46.1 -69 14 27 14 23
10 42 57 -64 23 40 0.0 0.0 J2000 10 43 44.1 -64 26 50 14 28
13 02 11 +10 57 33 0.0 0.0 J2000 13 04 26.9 +10 49 36 14 29
13 54 41 +18 23 52 0.0 0.0 J2000 13 57 00.0 +18 14 17 14 33
11 49 04 +14 34 19 0.0 0.0 J2000 11 51 24.8 +14 28 37 14 38
14 15 40 +19 10 57 0.0 0.0 J2000 14 17 56.0 +19 00 58 14 40
14 06 41 -36 22 12 0.0 0.0 J2000 14 08 35.0 -36 31 27 14 44
14 35 30 -42 09 28 0.0 0.0 J2000 14 37 22.9 -42 18 59 14 45
13 49 37 -42 28 26 0.0 0.0 J2000 13 51 24.0 -42 37 35 14 47
13 20 36 -36 42 44 0.0 0.0 J2000 13 22 25.0 -36 50 20 14 48
14 41 56 -47 23 18 0.0 0.0 J2000 14 43 43.9 -47 32 21 14 52
13 55 32 -47 17 18 0.0 0.0 J2000 13 57 15.0 -47 25 24 14 53
