05 39 39 -34 04 27 0.0 0.0 J2000 05 43 01.0 -33 57 29 03 27
05 32 44 -17 49 20 0.0 0.0 J2000 05 36 14.8 -17 42 02 03 30
06 20 19 -30 03 48 0.0 0.0 J2000 06 23 41.8 -29 58 08 03 32
06 23 57 -52 41 45 0.0 0.0 J2000 06 27 07.9 -52 36 40 03 33
05 47 45 -09 40 11 0.0 0.0 J2000 05 51 19.8 -09 33 21 03 35
06 49 56 -50 36 53 0.0 0.0 J2000 06 53 07.8 -50 32 38 03 36
06 22 42 -17 57 21 0.0 0.0 J2000 06 26 10.9 -17 51 12 03 38
05 36 13 -01 12 07 0.0 0.0 J2000 05 39 52.8 -01 06 16 03 39
05 25 08 +06 20 59 0.0 0.0 J2000 05 28 52.8 +06 26 45 03 41
07 17 09 -37 05 51 0.0 0.0 J2000 07 20 27.8 -37 02 24 03 42
06 45 09 -16 42 58 0.0 0.0 J2000 06 48 36.8 -16 38 00 03 44
07 03 02 -23 50 00 0.0 0.0 J2000 07 06 26.8 -23 45 35 03 46
07 08 24 -26 23 36 0.0 0.0 J2000 07 11 47.8 -26 19 19 03 47
07 24 06 -29 18 11 0.0 0.0 J2000 07 27 28.8 -29 14 24 03 49
04 35 55 +16 30 33 0.0 0.0 J2000 04 39 47.8 +16 37 45 03 50
05 37 39 +21 08 33 0.0 0.0 J2000 05 41 31.8 +21 14 05 03 56
09 13 12 -69 43 02 0.0 0.0 J2000 09 16 17.9 -69 42 00 03 58
09 17 05 -59 16 31 0.0 0.0 J2000 09 20 17.8 -59 15 04 04 00
08 07 33 -24 18 15 0.0 0.0 J2000 08 10 56.8 -24 15 06 04 01
09 22 07 -55 00 39 0.0 0.0 J2000 09 25 19.8 -55 00 14 04 04
