12 15 09 -58 44 56 0.0 0.0 J2000 12 19 11.0 -58 55 55 14 27
12 47 43 -59 41 19 0.0 0.0 J2000 12 51 49.0 -59 52 52 14 28
12 41 31 -48 57 36 0.0 0.0 J2000 12 45 51.0 -49 09 25 14 31
12 37 11 -69 08 08 0.0 0.0 J2000 12 40 45.0 -69 18 56 14 33
12 34 23 -23 23 48 0.0 0.0 J2000 12 39 03.0 -23 35 47 14 34
14 06 41 -36 22 12 0.0 0.0 J2000 14 11 20.0 -36 35 30 14 40
13 55 32 -47 17 18 0.0 0.0 J2000 14 00 02.0 -47 30 29 14 42
13 54 41 +18 23 52 0.0 0.0 J2000 13 59 39.0 +18 10 06 14 47
13 49 37 -42 28 26 0.0 0.0 J2000 13 54 11.0 -42 41 23 14 49
13 39 53 -53 27 59 0.0 0.0 J2000 13 44 14.0 -53 40 18 14 52
13 25 12 -11 09 41 0.0 0.0 J2000 13 29 57.0 -11 22 30 14 54
13 20 36 -36 42 44 0.0 0.0 J2000 13 25 10.0 -36 55 06 14 55
13 18 55 -23 10 18 0.0 0.0 J2000 13 23 37.0 -23 22 26 15 02
13 02 11 +10 57 33 0.0 0.0 J2000 13 07 04.0 +10 45 23 15 04
12 47 43 -59 41 19 0.0 0.0 J2000 12 51 50.0 -59 52 05 15 05
12 41 31 -48 57 36 0.0 0.0 J2000 12 45 54.0 -49 08 40 15 07
12 37 11 -69 08 08 0.0 0.0 J2000 12 40 51.0 -69 18 11 15 09
12 34 23 -23 23 48 0.0 0.0 J2000 12 39 05.0 -23 35 02 15 10
12 15 09 -58 44 56 0.0 0.0 J2000 12 19 19.0 -58 55 00 15 11
12 08 22 -50 43 21 0.0 0.0 J2000 12 12 43.0 -50 53 42 15 13
11 49 04 +14 34 19 0.0 0.0 J2000 11 54 04.0 +14 23 39 15 15
11 14 07 +20 31 25 0.0 0.0 J2000 11 19 15.0 +20 20 00 15 18
10 42 57 -64 23 40 0.0 0.0 J2000 10 47 01.0 -64 31 48 15 20
09 22 07 -55 00 39 0.0 0.0 J2000 09 26 36.9 -55 08 05 15 23
09 13 12 -69 43 02 0.0 0.0 J2000 09 17 09.0 -69 49 49 15 25
09 17 05 -59 16 31 0.0 0.0 J2000 09 21 30.9 -59 23 50 15 27
15 18 55 -68 40 46 0.0 0.0 J2000 15 22 59.0 -68 55 13 15 32
15 17 00 -09 22 59 0.0 0.0 J2000 15 21 51.0 -09 37 06 15 34
14 58 32 -43 08 02 0.0 0.0 J2000 15 03 11.0 -43 21 39 15 35
14 50 53 -16 02 30 0.0 0.0 J2000 14 55 41.0 -16 15 54 15 37
14 15 40 +19 10 57 0.0 0.0 J2000 14 20 32.0 +18 57 39 15 40
13 54 41 +18 23 52 0.0 0.0 J2000 13 59 35.0 +18 11 19 15 41
